"cap_ahorro_total_actual_buckets","cap_ahorro_total_actual_buckets_num","columna"
Sin_Informacion,0.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
"0.5_1",5.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
-0.2_0,1.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
mayor_1,8.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
"0.2_0.5",4.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
menor_-1,6.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
-1_-0.5,7.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
-0.5_-0.2,3.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
"0_0.2",2.0,var_ingresos_duros_mes_actual_trim_anterior_buckets_num
Sin_Informacion,0.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
-0.5_-0.2,5.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
-0.2_0,4.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
menor_-1,1.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
-1_-0.5,3.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
"0.2_0.5",7.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
"0.5_1",8.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
"0_0.2",6.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
mayor_1,2.0,var_ingresos_financieros_mes_actual_trim_anterior_buckets_num
"0_0.2",7.0,variacion_saldo_12m_num_buckets_num
-1_-0.5,2.0,variacion_saldo_12m_num_buckets_num
"1_2",6.0,variacion_saldo_12m_num_buckets_num
-0.2_0,0.0,variacion_saldo_12m_num_buckets_num
-0.5_-0.2,3.0,variacion_saldo_12m_num_buckets_num
menor_-1,8.0,variacion_saldo_12m_num_buckets_num
mayor_2,1.0,variacion_saldo_12m_num_buckets_num
"0.2_0.5",5.0,variacion_saldo_12m_num_buckets_num
"0.5_1",4.0,variacion_saldo_12m_num_buckets_num
"0_0.2",7.0,variacion_saldo_3m_num_buckets_num
"0.5_1",5.0,variacion_saldo_3m_num_buckets_num
-1_-0.5,1.0,variacion_saldo_3m_num_buckets_num
"0.2_0.5",6.0,variacion_saldo_3m_num_buckets_num
-0.2_0,0.0,variacion_saldo_3m_num_buckets_num
mayor_2,2.0,variacion_saldo_3m_num_buckets_num
-0.5_-0.2,3.0,variacion_saldo_3m_num_buckets_num
menor_-1,8.0,variacion_saldo_3m_num_buckets_num
"1_2",4.0,variacion_saldo_3m_num_buckets_num
"0_0.2",7.0,variacion_saldo_6m_num_buckets_num
"0.5_1",5.0,variacion_saldo_6m_num_buckets_num
-1_-0.5,1.0,variacion_saldo_6m_num_buckets_num
"0.2_0.5",6.0,variacion_saldo_6m_num_buckets_num
-0.2_0,0.0,variacion_saldo_6m_num_buckets_num
mayor_2,2.0,variacion_saldo_6m_num_buckets_num
-0.5_-0.2,3.0,variacion_saldo_6m_num_buckets_num
menor_-1,8.0,variacion_saldo_6m_num_buckets_num
"1_2",4.0,variacion_saldo_6m_num_buckets_num
-1_-0.5,1.0,variacion_saldo_semestral_num_buckets_num
-0.2_0,0.0,variacion_saldo_semestral_num_buckets_num
mayor_2,2.0,variacion_saldo_semestral_num_buckets_num
"0.5_1",6.0,variacion_saldo_semestral_num_buckets_num
-0.5_-0.2,3.0,variacion_saldo_semestral_num_buckets_num
menor_-1,8.0,variacion_saldo_semestral_num_buckets_num
"0_0.2",4.0,variacion_saldo_semestral_num_buckets_num
"0.2_0.5",5.0,variacion_saldo_semestral_num_buckets_num
"1_2",7.0,variacion_saldo_semestral_num_buckets_num
-1_-0.5,1.0,variacion_saldo_trimestral_num_buckets_num
-0.2_0,0.0,variacion_saldo_trimestral_num_buckets_num
mayor_2,2.0,variacion_saldo_trimestral_num_buckets_num
"0.5_1",6.0,variacion_saldo_trimestral_num_buckets_num
-0.5_-0.2,3.0,variacion_saldo_trimestral_num_buckets_num
menor_-1,8.0,variacion_saldo_trimestral_num_buckets_num
"0_0.2",4.0,variacion_saldo_trimestral_num_buckets_num
"0.2_0.5",5.0,variacion_saldo_trimestral_num_buckets_num
"1_2",7.0,variacion_saldo_trimestral_num_buckets_num
mayor_10,0.0,vinc_saldos_nuevo_buckets_num
"4_10",2.0,vinc_saldos_nuevo_buckets_num
menor_4,1.0,vinc_saldos_nuevo_buckets_num
